senator_id,name,full_name,birthdate,gender,race_ethnicity,committee_roles,religion,jewish_heritage,education
Adam_Schiff_CA,Adam Schiff,Adam Schiff,6/22/60,Male,White,"Senate Committee on Agriculture, Nutrition, and Forestry|Commodities, Derivatives, Risk Management, and Trade|Conservation, Forestry, Natural Resources, and Biotechnology|Senate Committee on Environment and Public Works|Clean Air, Climate, and Nuclear Innovation and Safety|Fisheries, Wildlife, and Water (Ranking Member)|Transportation and Infrastructure|Senate Committee on Small Business and Entrepreneurship|Senate Committee on the Judiciary|Antitrust, Competition Policy, and Consumer Rights|Intellectual Property (Ranking Member)|Privacy, Technology, and the Law|the Constitution",Jewish,TRUE,"[{""degree"": ""BA"", ""institution"": ""stanford university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""harvard university"", ""year"": null}]"
Alan_Armstrong_OK,Alan Armstrong,Alan Armstrong,22838,Male,White,,,FALSE,
Alex_Padilla_CA,Alex Padilla,Alex Padilla,3/22/73,Male,Hispanic,"Senate Committee on Energy and Natural Resources|Energy|Public Lands, Forests, and Mining|Water and Power|Senate Committee on Environment and Public Works|Clean Air, Climate, and Nuclear Innovation and Safety|Fisheries, Wildlife, and Water|Transportation and Infrastructure|Senate Committee on Rules and Administration (Ranking Member)|Senate Committee on the Budget|Senate Committee on the Judiciary|Federal Courts, Oversight, Agency Action, and Federal Rights|Border Security and Immigration (Ranking Member)|Privacy, Technology, and the Law|the Constitution|Joint Committee on Printing|Joint Committee of Congress on the Library",Catholic,FALSE,"[{""degree"": ""BS"", ""institution"": ""massachusetts institute technology"", ""year"": null}]"
Amy_Klobuchar_MN,Amy Klobuchar,Amy Klobuchar,5/25/60,Female,White,"Senate Committee on Agriculture, Nutrition, and Forestry (Ranking Member)|Commodities, Derivatives, Risk Management, and Trade (Ex Officio)|Conservation, Forestry, Natural Resources, and Biotechnology (Ex Officio)|Food and Nutrition, Specialty Crops, Organics, and Research (Ex Officio)|Livestock, Dairy, Poultry, and Food Safety (Ex Officio)|Rural Development, Energy, and Credit (Ex Officio)|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Consumer Protection, Technology, and Data Privacy|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Rules and Administration|Senate Committee on the Judiciary|Antitrust, Competition Policy, and Consumer Rights|Crime and Counterterrorism|Border Security and Immigration|Privacy, Technology, and the Law (Ranking Member)|Joint Committee of Congress on the Library|Joint Economic Committee",Congregationalist,FALSE,"[{""degree"": ""BA"", ""institution"": ""yale university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university chicago"", ""year"": null}]"
Andy_Kim_NJ,Andy Kim,Andy Kim,7/12/82,Male,Asian American,"Senate Committee on Banking, Housing, and Urban Affairs|Financial Institutions and Consumer Protection|National Security and International Trade and Finance (Ranking Member)|Securities, Insurance, and Investment|Senate Committee on Commerce, Science, and Transportation|Aviation, Space, and Innovation|Telecommunications and Media|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Health, Education, Labor, and Pensions|Education and the American Family|Primary Health and Retirement Security|Senate Committee on Homeland Security and Governmental Affairs|Permanent Subcommittee on Investigations|Disaster Management, District of Columbia, and Census (Ranking Member)|Senate Special Committee on Aging",Presbyterian,FALSE,"[{""degree"": null, ""institution"": ""deep springs college"", ""year"": null}, {""degree"": ""BA"", ""institution"": ""university chicago"", ""year"": null}, {""degree"": null, ""institution"": ""magdalen college oxford"", ""year"": null}]"
Angela_Alsobrooks_MD,Angela Alsobrooks,Angela Alsobrooks,2/23/71,Female,Black,"Senate Committee on Banking, Housing, and Urban Affairs|Financial Institutions and Consumer Protection|Housing, Transportation, and Community Development|Securities, Insurance, and Investment|Senate Committee on Environment and Public Works|Fisheries, Wildlife, and Water|Transportation and Infrastructure (Ranking Member)|Senate Committee on Health, Education, Labor, and Pensions|Education and the American Family|Employment and Workplace Safety|Senate Special Committee on Aging",Baptist,FALSE,"[{""degree"": ""BA"", ""institution"": ""duke university"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university maryland baltimore"", ""year"": null}]"
Angus_King_ME,Angus King,Angus King,3/31/44,Male,White,"Senate Committee on Armed Services|Airland|Seapower|Strategic Forces (Ranking Member)|Senate Committee on Energy and Natural Resources|Energy|National Parks (Ranking Member)|Public Lands, Forests, and Mining|Senate Committee on Veterans' Affairs|Senate Select Committee on Intelligence",Episcopalian,FALSE,"[{""degree"": ""BA"", ""institution"": ""dartmouth college"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university virginia"", ""year"": null}]"
Ashley_Moody_FL,Ashley Moody,Ashley Moody,3/28/75,Female,White,"Senate Committee on Health, Education, Labor, and Pensions|Education and the American Family|Primary Health and Retirement Security|Senate Committee on Homeland Security and Governmental Affairs|Disaster Management, District of Columbia, and Census|Border Management, Federal Workforce, and Regulatory Affairs|Senate Committee on the Judiciary|Antitrust, Competition Policy, and Consumer Rights|Border Security and Immigration|Intellectual Property|Privacy, Technology, and the Law|Joint Economic Committee|Senate Special Committee on Aging",,FALSE,"[{""degree"": ""BS"", ""institution"": ""university florida"", ""year"": null}, {""degree"": ""MS"", ""institution"": ""university florida"", ""year"": null}, {""degree"": ""JD"", ""institution"": ""university florida"", ""year"": null}, {""degree"": null, ""institution"": ""stetson university"", ""year"": null}]"
Ben_Ray_Lujan_NM,Ben Ray Lujan,Ben Ray Luján,6/7/72,Male,Hispanic,"Senate Committee on Agriculture, Nutrition, and Forestry|Conservation, Forestry, Natural Resources, and Biotechnology|Food and Nutrition, Specialty Crops, Organics, and Research (Ranking Member)|Rural Development, Energy, and Credit|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media (Ranking Member)|Consumer Protection, Technology, and Data Privacy|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Finance|Energy, Natural Resources, and Infrastructure|Health Care|Taxation and IRS Oversight|Senate Committee on Indian Affairs|Senate Committee on the Budget|United States Senate Caucus on International Narcotics Control",Catholic,FALSE,"[{""degree"": null, ""institution"": ""new mexico highlands university"", ""year"": null}]"
Bernie_Moreno_OH,Bernie Moreno,Bernie Moreno,2/14/67,Male,Hispanic,"Senate Committee on Banking, Housing, and Urban Affairs|Housing, Transportation, and Community Development|Securities, Insurance, and Investment|Senate Committee on Commerce, Science, and Transportation|Telecommunications and Media|Coast Guard, Maritime, and Fisheries|Science, Manufacturing, and Competitiveness|Surface Transportation, Freight, Pipelines, and Safety|Senate Committee on Homeland Security and Governmental Affairs|Permanent Subcommittee on Investigations|Border Management, Federal Workforce, and Regulatory Affairs|Senate Committee on the Budget|United States Senate Caucus on International Narcotics Control|Digital Assets",Catholic,FALSE,"[{""degree"": null, ""institution"": ""university michigan"", ""year"": null}]"
